### The result of the verage over time 
### d tau = 0.15036
### number of kessence update = 10
### initial time = 6.42703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  6.42703	        0	        0	 (32 , 32 , 32) 
  6.57739	6.04104e-07	-2.29783e-08	 (32 , 32 , 32) 
  6.73084	1.19862e-06	-2.02861e-08	 (32 , 32 , 32) 
  6.88745	1.78179e-06	-1.76948e-08	 (32 , 32 , 32) 
  7.04726	2.35504e-06	-1.50978e-08	 (32 , 32 , 32) 
  7.21036	2.91903e-06	-1.24046e-08	 (32 , 32 , 32) 
   7.3768	3.47442e-06	-9.53883e-09	 (32 , 32 , 32) 
  7.54664	4.02186e-06	-6.43609e-09	 (32 , 32 , 32) 
  7.71996	4.56199e-06	-3.04225e-09	 (32 , 32 , 32) 
  7.89681	5.09545e-06	6.88107e-10	 (32 , 32 , 32) 
  8.07728	5.62287e-06	4.79304e-09	 (32 , 32 , 32) 
  8.26143	6.14487e-06	9.30441e-09	 (32 , 32 , 32) 
  8.44933	6.66207e-06	1.4249e-08	 (32 , 32 , 32) 
  8.64106	7.17505e-06	1.96492e-08	 (32 , 32 , 32) 
  8.83669	7.68444e-06	2.55241e-08	 (32 , 32 , 32) 
  9.03631	8.1908e-06	3.18901e-08	 (32 , 32 , 32) 
  9.23998	8.69473e-06	3.87611e-08	 (32 , 32 , 32) 
  9.44778	9.19681e-06	4.61497e-08	 (32 , 32 , 32) 
  9.65981	9.6976e-06	5.40673e-08	 (32 , 32 , 32) 
  9.87614	1.01977e-05	6.25242e-08	 (32 , 32 , 32) 
  10.0969	1.06976e-05	7.15305e-08	 (32 , 32 , 32) 
   10.322	1.11979e-05	8.10963e-08	 (32 , 32 , 32) 
  10.5518	1.16992e-05	9.12314e-08	 (32 , 32 , 32) 
  10.7862	1.2202e-05	1.01946e-07	 (32 , 32 , 32) 
  11.0253	1.27069e-05	1.13252e-07	 (32 , 32 , 32) 
  11.2693	1.32144e-05	1.2516e-07	 (32 , 32 , 32) 
  11.5182	1.37251e-05	1.37683e-07	 (32 , 32 , 32) 
  11.7722	1.42395e-05	1.50834e-07	 (32 , 32 , 32) 
  12.0313	1.47582e-05	1.64628e-07	 (32 , 32 , 32) 
  12.2956	1.52818e-05	1.79081e-07	 (32 , 32 , 32) 
  12.5652	1.58108e-05	1.9421e-07	 (32 , 32 , 32) 
  12.8403	1.63459e-05	2.10034e-07	 (32 , 32 , 32) 
   13.121	1.68876e-05	2.26573e-07	 (32 , 32 , 32) 
  13.4073	1.74364e-05	2.43848e-07	 (32 , 32 , 32) 
  13.6993	1.79931e-05	2.61883e-07	 (32 , 32 , 32) 
  13.9973	1.85582e-05	2.80702e-07	 (32 , 32 , 32) 
  14.3012	1.91324e-05	3.00333e-07	 (32 , 32 , 32) 
  14.6113	1.97163e-05	3.20804e-07	 (32 , 32 , 32) 
  14.9276	2.03105e-05	3.42145e-07	 (32 , 32 , 32) 
  15.2503	2.09159e-05	3.64389e-07	 (32 , 32 , 32) 
  15.5795	2.1533e-05	3.8757e-07	 (32 , 32 , 32) 
  15.9153	2.21626e-05	4.11725e-07	 (32 , 32 , 32) 
  16.2578	2.28054e-05	4.36891e-07	 (32 , 32 , 32) 
  16.6072	2.34623e-05	4.63109e-07	 (32 , 32 , 32) 
  16.9637	2.41341e-05	4.90422e-07	 (32 , 32 , 32) 
  17.3273	2.48219e-05	5.18876e-07	 (32 , 32 , 32) 
  17.6982	2.55268e-05	5.4852e-07	 (32 , 32 , 32) 
  18.0765	2.62496e-05	5.79406e-07	 (32 , 32 , 32) 
  18.4625	2.69914e-05	6.11595e-07	 (32 , 32 , 32) 
  18.8561	2.77536e-05	6.45154e-07	 (32 , 32 , 32) 
  19.2577	2.85383e-05	6.80163e-07	 (32 , 32 , 32) 
  19.6673	2.93498e-05	7.16708e-07	 (32 , 32 , 32) 
  20.0851	3.01923e-05	7.54866e-07	 (32 , 32 , 32) 
  20.5113	3.10771e-05	7.9471e-07	 (32 , 32 , 32) 
   20.946	3.20016e-05	8.36323e-07	 (32 , 32 , 32) 
  21.3894	3.29645e-05	8.79763e-07	 (32 , 32 , 32) 
  21.8417	3.39705e-05	9.25047e-07	 (32 , 32 , 32) 
   22.303	3.5021e-05	9.72176e-07	 (32 , 32 , 32) 
  22.7735	3.61164e-05	1.02114e-06	 (32 , 32 , 32) 
  23.2534	3.7258e-05	1.07193e-06	 (32 , 32 , 32) 
  23.7428	3.84472e-05	1.12451e-06	 (32 , 32 , 32) 
