# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=96.0791
# for k=2.10937e-07 to 223.611 h/Mpc,
# number of wavenumbers equal to 873
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       2.109370519242e-07      -1.552364974443e+00      -1.164273730832e+00      -1.164273730832e+00      -1.164270654887e-01      -1.552364974443e+00      -1.175025180708e+00       6.119087578802e-01       5.969432505258e-01       6.265325736979e-12       6.265325896213e-12       6.265325897670e-12       6.265325906917e-12       6.265325730636e-12       6.265325891471e-12 
       2.158504070464e-07      -1.552364969099e+00      -1.164273726825e+00      -1.164273726825e+00      -1.164270657051e-01      -1.552364969099e+00      -1.175025176664e+00       6.119087592863e-01       5.969432518216e-01       6.560601500550e-12       6.560601622271e-12       6.560601623449e-12       6.560601633131e-12       6.560601496217e-12       6.560601618706e-12 
       2.208782089115e-07      -1.552364971046e+00      -1.164273728284e+00      -1.164273728284e+00      -1.164270656516e-01      -1.552364971046e+00      -1.175025178137e+00       6.119087588733e-01       5.969432514420e-01       6.869793104401e-12       6.869793246970e-12       6.869793248305e-12       6.869793258444e-12       6.869793099087e-12       6.869793242755e-12 
       2.260231233267e-07      -1.552364972423e+00      -1.164273729317e+00      -1.164273729317e+00      -1.164270656192e-01      -1.552364972423e+00      -1.175025179179e+00       6.119087586061e-01       5.969432511976e-01       7.193556465132e-12       7.193556625322e-12       7.193556626786e-12       7.193556637403e-12       7.193556459030e-12       7.193556620555e-12 
       2.312878781936e-07      -1.552364975385e+00      -1.164273731539e+00      -1.164273731539e+00      -1.164270655289e-01      -1.552364975385e+00      -1.175025181422e+00       6.119087579462e-01       5.969432505940e-01       7.532578302617e-12       7.532578497146e-12       7.532578498879e-12       7.532578509997e-12       7.532578294754e-12       7.532578491314e-12 
       2.366752649550e-07      -1.552364975430e+00      -1.164273731572e+00      -1.164273731572e+00      -1.164270655482e-01      -1.552364975430e+00      -1.175025181455e+00       6.119087580195e-01       5.969432506633e-01       7.887577783290e-12       7.887577985671e-12       7.887577987462e-12       7.887577999103e-12       7.887577775122e-12       7.887577979593e-12 
       2.421881400746e-07      -1.552364976963e+00      -1.164273732722e+00      -1.164273732722e+00      -1.164270655136e-01      -1.552364976963e+00      -1.175025182616e+00       6.119087577246e-01       5.969432503941e-01       8.259307854434e-12       8.259308080269e-12       8.259308082240e-12       8.259308094430e-12       8.259307845113e-12       8.259308073461e-12 
       2.478294265519e-07      -1.552364977283e+00      -1.164273732962e+00      -1.164273732962e+00      -1.164270655239e-01      -1.552364977283e+00      -1.175025182858e+00       6.119087577372e-01       5.969432504097e-01       8.648557039714e-12       8.648557278150e-12       8.648557280223e-12       8.648557292987e-12       8.648557029767e-12       8.648557270954e-12 
       2.536021154715e-07      -1.552364977374e+00      -1.164273733031e+00      -1.164273733031e+00      -1.164270655436e-01      -1.552364977374e+00      -1.175025182927e+00       6.119087578115e-01       5.969432504822e-01       9.056150977327e-12       9.056151226372e-12       9.056151228532e-12       9.056151241898e-12       9.056150966847e-12       9.056151218851e-12 
       2.595092675895e-07      -1.552364979673e+00      -1.164273734754e+00      -1.164273734754e+00      -1.164270654834e-01      -1.552364979673e+00      -1.175025184667e+00       6.119087573384e-01       5.969432500483e-01       9.482954192848e-12       9.482954478106e-12       9.482954480528e-12       9.482954494524e-12       9.482954180617e-12       9.482954469445e-12 
       2.655540149563e-07      -1.552364978596e+00      -1.164273733947e+00      -1.164273733947e+00      -1.164270655509e-01      -1.552364978596e+00      -1.175025183852e+00       6.119087577139e-01       5.969432503948e-01       9.929872077505e-12       9.929872359456e-12       9.929872361843e-12       9.929872376498e-12       9.929872065561e-12       9.929872350892e-12 
       2.717395625768e-07      -1.552364982494e+00      -1.164273736871e+00      -1.164273736871e+00      -1.164270654337e-01      -1.552364982494e+00      -1.175025186803e+00       6.119087568507e-01       5.969432496027e-01       1.039785247028e-11       1.039785281305e-11       1.039785281588e-11       1.039785283123e-11       1.039785245529e-11       1.039785280258e-11 
       2.780691901103e-07      -1.552364981236e+00      -1.164273735927e+00      -1.164273735927e+00      -1.164270655094e-01      -1.552364981236e+00      -1.175025185850e+00       6.119087572819e-01       5.969432500029e-01       1.088788818720e-11       1.088788852589e-11       1.088788852869e-11       1.088788854476e-11       1.088788817245e-11       1.088788851554e-11 
