### The result of the maximum over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- max(H pi_k)	3- max (zeta)	 4- max (phi)   
  11.9322	        0	        0	1.5821e-05
  12.1708	6.0834e-07	1.99135e-08	1.5821e-05
  12.4142	1.22213e-06	1.78507e-08	1.65272e-05
  12.6625	1.77305e-06	1.61196e-08	1.62833e-05
  12.9158	2.28262e-06	1.46811e-08	1.60362e-05
  13.1741	2.75452e-06	1.34976e-08	1.58107e-05
  13.4376	3.19168e-06	1.25362e-08	1.56059e-05
  13.7063	3.59679e-06	1.17677e-08	1.54201e-05
  13.9805	3.97232e-06	1.11666e-08	1.52509e-05
  14.2601	4.32061e-06	1.07105e-08	1.5097e-05
  14.5453	4.64366e-06	1.03796e-08	1.49567e-05
  14.8362	4.94337e-06	1.1334e-08	1.48288e-05
  15.1329	5.2215e-06	1.32316e-08	1.47122e-05
  15.4356	5.47966e-06	1.5235e-08	1.46057e-05
  15.7443	5.71933e-06	1.73382e-08	1.45083e-05
  16.0591	5.94189e-06	1.95359e-08	1.44193e-05
  16.3803	6.14859e-06	2.18235e-08	1.43377e-05
  16.7079	6.34059e-06	2.41973e-08	1.42629e-05
  17.0421	6.51897e-06	2.66544e-08	1.41942e-05
  17.3829	6.68471e-06	2.91926e-08	1.4131e-05
  17.7306	6.83872e-06	3.18101e-08	1.40728e-05
  18.0852	6.98184e-06	3.45063e-08	1.40191e-05
  18.4469	7.11484e-06	3.72807e-08	1.39694e-05
  18.8159	7.23844e-06	4.01338e-08	1.39233e-05
  19.1922	7.35331e-06	4.30666e-08	1.38804e-05
   19.576	7.46004e-06	4.60807e-08	1.38405e-05
  19.9675	7.55921e-06	4.91781e-08	1.38032e-05
  20.3669	7.65133e-06	5.27283e-08	1.37682e-05
  20.7742	7.7369e-06	5.6693e-08	1.37353e-05
  21.1897	7.81634e-06	6.08059e-08	1.37043e-05
  21.6135	7.89008e-06	6.50709e-08	1.36749e-05
  22.0458	7.9585e-06	6.94945e-08	1.36471e-05
  22.4867	8.02196e-06	7.4087e-08	1.36232e-05
  22.9364	8.08077e-06	7.88536e-08	1.36003e-05
  23.3951	8.13524e-06	8.37932e-08	1.35784e-05
  23.8631	8.18565e-06	8.89118e-08	1.35573e-05
  24.3403	8.23226e-06	9.42202e-08	1.35368e-05
  24.8271	8.2753e-06	9.97306e-08	1.35169e-05
  25.3237	8.315e-06	1.05453e-07	1.34973e-05
  25.8301	8.35153e-06	1.11396e-07	1.34777e-05
  26.3467	8.38508e-06	1.17572e-07	1.34581e-05
  26.8737	8.41617e-06	1.23995e-07	1.34383e-05
  27.4111	8.44577e-06	1.3068e-07	1.34182e-05
  27.9594	8.47285e-06	1.37638e-07	1.33976e-05
  28.5186	8.49752e-06	1.44887e-07	1.33763e-05
  29.0889	8.5199e-06	1.52441e-07	1.33544e-05
  29.6707	8.54008e-06	1.60303e-07	1.33705e-05
  30.2641	8.55816e-06	1.68464e-07	1.33915e-05
  30.8694	8.57423e-06	1.76921e-07	1.34148e-05
  31.4868	8.58836e-06	1.85668e-07	1.34406e-05
  32.1165	8.60063e-06	1.94699e-07	1.347e-05
  32.7589	8.61112e-06	2.04015e-07	1.35066e-05
   33.414	8.61987e-06	2.13613e-07	1.35469e-05
  34.0823	8.62696e-06	2.23493e-07	1.35907e-05
   34.764	8.63245e-06	2.33923e-07	1.36375e-05
  35.4592	8.63763e-06	2.45564e-07	1.36878e-05
  36.1684	8.66626e-06	2.57661e-07	1.37413e-05
  36.8918	8.69517e-06	2.70239e-07	1.37986e-05
  37.6296	8.72523e-06	2.83318e-07	1.38593e-05
  38.3796	8.75674e-06	2.96877e-07	1.39724e-05
  39.1296	8.78944e-06	3.10711e-07	1.40969e-05
  39.8796	8.82223e-06	3.24818e-07	1.42161e-05
