### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	5.61159e-21
  12.1708	-1.12686e-11	-2.77139e-10	5.61159e-21
  12.4142	1.92608e-11	-2.39059e-10	6.89019e-10
  12.6625	7.14091e-11	-1.92853e-10	1.29592e-09
  12.9158	1.41623e-10	-1.34172e-10	1.82837e-09
  13.1741	2.27067e-10	-5.95504e-11	2.29529e-09
  13.4376	3.25477e-10	3.36326e-11	2.70467e-09
  13.7063	4.35062e-10	1.47306e-10	3.06369e-09
  13.9805	5.54433e-10	2.82843e-10	3.37879e-09
  14.2601	6.8253e-10	4.41173e-10	3.65575e-09
  14.5453	8.18572e-10	6.22879e-10	3.89974e-09
  14.8362	9.62007e-10	8.2827e-10	4.11539e-09
  15.1329	1.11247e-09	1.05745e-09	4.30685e-09
  15.4356	1.26976e-09	1.31038e-09	4.47786e-09
  15.7443	1.43379e-09	1.58691e-09	4.63173e-09
  16.0591	1.60459e-09	1.88681e-09	4.77145e-09
  16.3803	1.78228e-09	2.20983e-09	4.89969e-09
  16.7079	1.96704e-09	2.55569e-09	5.01885e-09
  17.0421	2.1591e-09	2.92411e-09	5.13107e-09
  17.3829	2.35876e-09	3.31485e-09	5.23826e-09
  17.7306	2.56632e-09	3.72768e-09	5.34217e-09
  18.0852	2.78215e-09	4.16243e-09	5.44433e-09
  18.4469	3.00663e-09	4.61896e-09	5.54615e-09
  18.8159	3.24014e-09	5.0972e-09	5.64888e-09
  19.1922	3.4831e-09	5.59713e-09	5.75367e-09
   19.576	3.73595e-09	6.11881e-09	5.86154e-09
  19.9675	3.99912e-09	6.66235e-09	5.97342e-09
  20.3669	4.27306e-09	7.22791e-09	6.09019e-09
  20.7742	4.55823e-09	7.81576e-09	6.21261e-09
  21.1897	4.85512e-09	8.42619e-09	6.34142e-09
  21.6135	5.16421e-09	9.0596e-09	6.47728e-09
  22.0458	5.48599e-09	9.71642e-09	6.62083e-09
  22.4867	5.82097e-09	1.03972e-08	6.77264e-09
  22.9364	6.16968e-09	1.11025e-08	6.93328e-09
  23.3951	6.53264e-09	1.18329e-08	7.10327e-09
  23.8631	6.91041e-09	1.25892e-08	7.28312e-09
  24.3403	7.30355e-09	1.33722e-08	7.47332e-09
  24.8271	7.71265e-09	1.41827e-08	7.67436e-09
  25.3237	8.1383e-09	1.50216e-08	7.8867e-09
  25.8301	8.58112e-09	1.58899e-08	8.11081e-09
  26.3467	9.04177e-09	1.67887e-08	8.34717e-09
  26.8737	9.52089e-09	1.77189e-08	8.59622e-09
  27.4111	1.00192e-08	1.86818e-08	8.85846e-09
