### The result of the verage over time 
### d tau = 0.15036
### number of kessence update = 10
### initial time = 6.42703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  6.42703	        0	        0	        0
  6.57739	-1.52295e-10	-3.7522e-09	        0
  6.73084	-2.65211e-10	-3.28901e-09	2.17846e-10
  6.88745	-3.46117e-10	-2.80551e-09	4.17503e-10
  7.04726	-3.95704e-10	-2.26995e-09	6.05844e-10
  7.21036	-4.13572e-10	-1.65608e-09	7.84243e-10
   7.3768	-3.98391e-10	-9.42239e-10	9.53954e-10
  7.54664	-3.48111e-10	-1.10612e-10	1.11612e-09
  7.71996	-2.60153e-10	8.53325e-10	1.27181e-09
  7.89681	-1.31551e-10	1.96134e-09	1.42196e-09
  8.07728	4.09275e-11	3.22288e-09	1.56749e-09
  8.26143	2.60677e-10	4.64549e-09	1.7092e-09
  8.44933	5.31181e-10	6.23512e-09	1.84785e-09
  8.64106	8.55948e-10	7.99641e-09	1.98414e-09
  8.83669	1.23847e-09	9.933e-09	2.11872e-09
  9.03631	1.68217e-09	1.20477e-08	2.25219e-09
  9.23998	2.1904e-09	1.43426e-08	2.38512e-09
  9.44778	2.7664e-09	1.68196e-08	2.51804e-09
  9.65981	3.41333e-09	1.94798e-08	2.65145e-09
  9.87614	4.13419e-09	2.23246e-08	2.7858e-09
  10.0969	4.93191e-09	2.5355e-08	2.92156e-09
   10.322	5.80927e-09	2.8572e-08	3.05914e-09
  10.5518	6.76898e-09	3.19768e-08	3.19894e-09
  10.7862	7.81363e-09	3.55705e-08	3.34136e-09
  11.0253	8.94574e-09	3.93546e-08	3.48678e-09
  11.2693	1.01678e-08	4.33307e-08	3.63555e-09
  11.5182	1.14821e-08	4.75007e-08	3.78803e-09
  11.7722	1.2891e-08	5.18668e-08	3.94458e-09
  12.0313	1.43969e-08	5.64314e-08	4.10553e-09
  12.2956	1.6002e-08	6.11976e-08	4.27122e-09
  12.5652	1.77086e-08	6.61684e-08	4.442e-09
  12.8403	1.95191e-08	7.13476e-08	4.6182e-09
   13.121	2.14358e-08	7.67392e-08	4.80015e-09
  13.4073	2.34611e-08	8.23477e-08	4.9882e-09
  13.6993	2.55974e-08	8.81778e-08	5.18269e-09
  13.9973	2.78471e-08	9.42351e-08	5.38396e-09
  14.3012	3.02131e-08	1.00525e-07	5.59238e-09
  14.6113	3.26978e-08	1.07054e-07	5.80829e-09
  14.9276	3.53042e-08	1.1383e-07	6.03207e-09
  15.2503	3.80351e-08	1.20858e-07	6.26409e-09
  15.5795	4.08936e-08	1.28147e-07	6.50475e-09
  15.9153	4.3883e-08	1.35705e-07	6.75443e-09
  16.2578	4.70067e-08	1.43541e-07	7.01355e-09
  16.6072	5.02681e-08	1.51664e-07	7.28252e-09
  16.9637	5.3671e-08	1.60083e-07	7.5618e-09
  17.3273	5.72194e-08	1.6881e-07	7.85182e-09
  17.6982	6.09174e-08	1.77855e-07	8.15304e-09
  18.0765	6.47694e-08	1.8723e-07	8.46597e-09
  18.4625	6.87799e-08	1.96946e-07	8.79107e-09
  18.8561	7.29538e-08	2.07017e-07	9.12886e-09
  19.2577	7.72961e-08	2.17454e-07	9.47987e-09
  19.6673	8.18123e-08	2.28274e-07	9.84464e-09
  20.0851	8.6508e-08	2.39489e-07	1.02237e-08
  20.5113	9.1389e-08	2.51115e-07	1.06178e-08
   20.946	9.64616e-08	2.63167e-07	1.10273e-08
  21.3894	1.01732e-07	2.75662e-07	1.1453e-08
  21.8417	1.07208e-07	2.88617e-07	1.18955e-08
   22.303	1.12896e-07	3.0205e-07	1.23555e-08
  22.7735	1.18804e-07	3.15979e-07	1.28336e-08
  23.2534	1.24939e-07	3.30423e-07	1.33307e-08
  23.7428	1.3131e-07	3.45402e-07	1.38475e-08
   24.242	1.37926e-07	3.60937e-07	1.43847e-08
  24.7512	1.44796e-07	3.7705e-07	1.49432e-08
