### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642703	        0	        0	 (32 , 32 , 32) 
 0.657739	5.043e-07	0.00083929	 (32 , 32 , 32) 
 0.673084	7.57107e+28	4.9435e+31	 (32 , 32 , 32) 
 0.688745	      nan	      nan	 (32 , 32 , 32) 
 0.704726	      nan	      nan	 (32 , 32 , 32) 
 0.721036	      nan	      nan	 (32 , 32 , 32) 
  0.73768	      nan	      nan	 (32 , 32 , 32) 
 0.754664	      nan	      nan	 (32 , 32 , 32) 
 0.771996	      nan	      nan	 (32 , 32 , 32) 
 0.789681	      nan	      nan	 (32 , 32 , 32) 
 0.807728	      nan	      nan	 (32 , 32 , 32) 
 0.826143	      nan	      nan	 (32 , 32 , 32) 
 0.844933	      nan	      nan	 (32 , 32 , 32) 
 0.864106	      nan	      nan	 (32 , 32 , 32) 
 0.883669	      nan	      nan	 (32 , 32 , 32) 
 0.903631	      nan	      nan	 (32 , 32 , 32) 
 0.923998	      nan	      nan	 (32 , 32 , 32) 
 0.944778	      nan	      nan	 (32 , 32 , 32) 
 0.965981	      nan	      nan	 (32 , 32 , 32) 
 0.987614	      nan	      nan	 (32 , 32 , 32) 
  1.00969	      nan	      nan	 (32 , 32 , 32) 
   1.0322	      nan	      nan	 (32 , 32 , 32) 
  1.05518	      nan	      nan	 (32 , 32 , 32) 
  1.07862	      nan	      nan	 (32 , 32 , 32) 
  1.10253	      nan	      nan	 (32 , 32 , 32) 
  1.12693	      nan	      nan	 (32 , 32 , 32) 
  1.15182	      nan	      nan	 (32 , 32 , 32) 
  1.17722	      nan	      nan	 (32 , 32 , 32) 
  1.20313	      nan	      nan	 (32 , 32 , 32) 
  1.22956	      nan	      nan	 (32 , 32 , 32) 
  1.25652	      nan	      nan	 (32 , 32 , 32) 
  1.28403	      nan	      nan	 (32 , 32 , 32) 
   1.3121	      nan	      nan	 (32 , 32 , 32) 
  1.34073	      nan	      nan	 (32 , 32 , 32) 
  1.36993	      nan	      nan	 (32 , 32 , 32) 
  1.39973	      nan	      nan	 (32 , 32 , 32) 
  1.43012	      nan	      nan	 (32 , 32 , 32) 
  1.46113	      nan	      nan	 (32 , 32 , 32) 
